filename,pred
datasets/imagenet/val/n01440764/ILSVRC2012_val_00000293.JPEG,48
datasets/imagenet/val/n01440764/ILSVRC2012_val_00003014.JPEG,391
datasets/imagenet/val/n01440764/ILSVRC2012_val_00021740.JPEG,391
datasets/imagenet/val/n01440764/ILSVRC2012_val_00037375.JPEG,0
datasets/imagenet/val/n01443537/ILSVRC2012_val_00002241.JPEG,1
datasets/imagenet/val/n01443537/ILSVRC2012_val_00006007.JPEG,1
datasets/imagenet/val/n01443537/ILSVRC2012_val_00012880.JPEG,975
datasets/imagenet/val/n01443537/ILSVRC2012_val_00016962.JPEG,1
datasets/imagenet/val/n01443537/ILSVRC2012_val_00020436.JPEG,6
datasets/imagenet/val/n01443537/ILSVRC2012_val_00028713.JPEG,396
datasets/imagenet/val/n01443537/ILSVRC2012_val_00046915.JPEG,1
datasets/imagenet/val/n01443537/ILSVRC2012_val_00049712.JPEG,107
datasets/imagenet/val/n01484850/ILSVRC2012_val_00006491.JPEG,3
datasets/imagenet/val/n01484850/ILSVRC2012_val_00008848.JPEG,2
datasets/imagenet/val/n01484850/ILSVRC2012_val_00019409.JPEG,147
datasets/imagenet/val/n01484850/ILSVRC2012_val_00031720.JPEG,33
datasets/imagenet/val/n01484850/ILSVRC2012_val_00042345.JPEG,4
datasets/imagenet/val/n01484850/ILSVRC2012_val_00044052.JPEG,2
datasets/imagenet/val/n01491361/ILSVRC2012_val_00003183.JPEG,2
datasets/imagenet/val/n01491361/ILSVRC2012_val_00023443.JPEG,2
datasets/imagenet/val/n01491361/ILSVRC2012_val_00024854.JPEG,983
datasets/imagenet/val/n01491361/ILSVRC2012_val_00025133.JPEG,148
datasets/imagenet/val/n01494475/ILSVRC2012_val_00034115.JPEG,3
datasets/imagenet/val/n01494475/ILSVRC2012_val_00045925.JPEG,913
datasets/imagenet/val/n01496331/ILSVRC2012_val_00004698.JPEG,983
datasets/imagenet/val/n01496331/ILSVRC2012_val_00009208.JPEG,4
datasets/imagenet/val/n01496331/ILSVRC2012_val_00009237.JPEG,344
datasets/imagenet/val/n01496331/ILSVRC2012_val_00017196.JPEG,3
datasets/imagenet/val/n01496331/ILSVRC2012_val_00023916.JPEG,394
datasets/imagenet/val/n01496331/ILSVRC2012_val_00037260.JPEG,973
datasets/imagenet/val/n01496331/ILSVRC2012_val_00047589.JPEG,5
datasets/imagenet/val/n01496331/ILSVRC2012_val_00048119.JPEG,390
datasets/imagenet/val/n01498041/ILSVRC2012_val_00014771.JPEG,973
datasets/imagenet/val/n01498041/ILSVRC2012_val_00030380.JPEG,33
datasets/imagenet/val/n01498041/ILSVRC2012_val_00033942.JPEG,983
datasets/imagenet/val/n01498041/ILSVRC2012_val_00042175.JPEG,830
datasets/imagenet/val/n01498041/ILSVRC2012_val_00042385.JPEG,6
datasets/imagenet/val/n01514668/ILSVRC2012_val_00029921.JPEG,266
datasets/imagenet/val/n01532829/ILSVRC2012_val_00013456.JPEG,315
datasets/imagenet/val/n01532829/ILSVRC2012_val_00029709.JPEG,139
datasets/imagenet/val/n01534433/ILSVRC2012_val_00023850.JPEG,19
datasets/imagenet/val/n01558993/ILSVRC2012_val_00045150.JPEG,489
datasets/imagenet/val/n01560419/ILSVRC2012_val_00001720.JPEG,82
datasets/imagenet/val/n01560419/ILSVRC2012_val_00017310.JPEG,16
datasets/imagenet/val/n01560419/ILSVRC2012_val_00026541.JPEG,16
datasets/imagenet/val/n01560419/ILSVRC2012_val_00030966.JPEG,16
datasets/imagenet/val/n01582220/ILSVRC2012_val_00037806.JPEG,84
datasets/imagenet/val/n01592084/ILSVRC2012_val_00007912.JPEG,19
